"CAMIS","DBA","ZIPCODE","CUISINE DESCRIPTION","reinspections","checks","violations","score","inspections","average_grade","BORO","BUILDING","STREET","SCORE","GRADE","GRADE DATE","GRADENUM","NAME","ADDRESS","lon","lat"
40367790,"MCDONALD'S",11226,"Hamburgers",5,16,16,248,7,2.71428571428571,"BROOKLYN","943","FLATBUSH AVENUE",9,"A","06/12/2018",3,"MCDONALDS","943 FLATBUSH AVENUE BROOKLYN",-73.958168,40.648705
40367829,"MCDONALD'S",11416,"Hamburgers",4,18,18,329,6,3,"QUEENS","7550","101 AVENUE",3,"A","01/11/2019",3,"MCDONALDS","7550 101 AVENUE QUEENS",-73.8617292,40.6795551
40369724,"MCDONALD'S",11375,"Hamburgers",0,8,6,66,4,3,"QUEENS","10615","71 AVENUE",13,"A","05/16/2018",3,"MCDONALDS","10615 71 AVENUE QUEENS",-73.8451156,40.7200141
40369782,"MCDONALD'S",11203,"Hamburgers",4,18,17,306,7,2.33333333333333,"BROOKLYN","701","UTICA AVENUE",7,"A","04/11/2018",3,"MCDONALDS","701 UTICA AVENUE BROOKLYN",-73.930517,40.6561377
40370356,"MCDONALD'S",10312,"Hamburgers",0,6,6,60,3,3,"STATEN ISLAND","3267","RICHMOND AVENUE",7,"A","07/10/2018",3,"MCDONALDS","3267 RICHMOND AVENUE STATEN ISLAND",-74.1681723,40.5595956
40370781,"MCDONALD'S",11357,"Hamburgers",11,27,27,399,9,3,"QUEENS","16011","WILLETS POINT BOULEVARD",13,"A","02/26/2019",3,"MCDONALDS","16011 WILLETS POINT BOULEVARD QUEENS",-73.802319,40.780748
40372196,"MCDONALD'S",10465,"Hamburgers",9,21,21,332,10,3,"BRONX","3660","EAST TREMONT AVENUE",7,"A","02/04/2019",3,"MCDONALDS","3660 EAST TREMONT AVENUE BRONX",-73.8236418,40.8275743
40373909,"MCDONALD'S",11203,"Hamburgers",2,10,10,86,5,3,"BROOKLYN","5804","CLARENDON ROAD",7,"A","06/22/2018",3,"MCDONALDS","5804 CLARENDON ROAD BROOKLYN",-73.9216073,40.6446637
40374460,"MCDONALD'S",11367,"Hamburgers",4,18,18,226,5,3,"QUEENS","7269","KISSENA BOULEVARD",11,"A","01/08/2019",3,"MCDONALDS","7269 KISSENA BOULEVARD QUEENS",-73.8124604,40.7274006
40377294,"MCDONALD'S",11385,"Hamburgers",5,16,16,352,6,3,"QUEENS","7002","COOPER AVENUE",9,"A","04/03/2019",3,"MCDONALDS","7002 COOPER AVENUE QUEENS",-73.8802691,40.7017536
40384036,"MCDONALD'S",11207,"Hamburgers",2,9,9,95,5,3,"BROOKLYN","819","PENNSYLVANIA AVENUE",2,"A","10/12/2018",3,"MCDONALDS","819 PENNSYLVANIA AVENUE BROOKLYN",-73.8897308,40.6578209
40391639,"MCDONALD'S",10454,"Hamburgers",0,4,4,20,3,3,"BRONX","85","BRUCKNER BOULEVARD",4,"A","03/21/2019",3,"MCDONALDS","85 BRUCKNER BOULEVARD BRONX",-73.9256489,40.8063028
40392256,"MCDONALD'S",11354,"Hamburgers",5,18,18,279,6,3,"QUEENS","4018","MAIN STREET",10,"A","01/23/2019",3,"MCDONALDS","4018 MAIN STREET QUEENS",-73.8302475,40.7590286
40395525,"MCDONALD AVENUE DINER",11230,"American",5,24,24,450,8,3,"BROOKLYN","1111","MCDONALD AVENUE",8,"A","10/25/2018",3,"MCDONALDS","1111 MCDONALD AVENUE BROOKLYN",-73.9760999,40.6262473
40395653,"MCDONALD'S",10467,"Hamburgers",2,13,13,178,5,3,"BRONX","300","EAST  204 STREET",12,"A","01/07/2019",3,"MCDONALDS","300 EAST  204 STREET BRONX",-73.8788209,40.8728379
40395910,"MCDONALD'S",11362,"Hamburgers",3,15,15,215,6,2.7,"QUEENS","25001","NORTHERN BOULEVARD",9,"A","04/02/2019",3,"MCDONALDS","25001 NORTHERN BOULEVARD QUEENS",-73.7375575,40.7689018
